"decade","pop_10","w_farm_10","w_lab_10","w_craft_10","w_help_05","allen_w","d_hw","inc_hw","broad_pop_hf","broad_pop_lf","pop_ind","pop_nb_com","pop_07","efficiency_DE","efficiency_NDP","efficiency_DE16","efficiency_NDP16","allen05_TFP_agriculture","capital_stock_gross","capital_stock_net","interest_rate","wrigley_prod","allen_prod","w_ind","rent_ind","r_land","r_rents","land_share","capital_share","wrigley_pop"
1390,2.8185829141461,111.411646259891,72.2124678250386,74.8024108433757,59.5,72.2124678250386,120.690686720627,1.57,2.17602503266018,,50.1,8,2.96,80.2,74.2,78.8279923672624,73.2547039602719,,,,,,,0.331381285974647,0.129262005027491,,,0.193,0.168,
1400,2.64013942768987,120.574560234652,75.41297053405,73.8695653917869,63.6,75.41297053405,113.297052174778,1.73,2.07284856543585,2.08,49.5,7,2.83,83.7,77.3,80.9312542949981,75.2092612849003,,,,,,0.49853603348948,0.350089211211237,0.138404590228368,,,0.204,0.169,
1410,2.53798026071617,119.422967069347,74.6296251244788,75.2000335372284,62.6,74.6296251244788,119.430221641281,1.69,2.05168469940459,,43.6,9,2.68,82.1,75.9,79.759837820583,74.1206661745788,,,,,,,0.349296821152609,0.127052298615296,16.67,,0.197,0.17,
1420,2.46949931018659,129.710325138271,84.1709890571635,82.2301652683439,68.2,84.1709890571635,126.065907812111,1.83,2.03073691728455,,46.2,11,2.64,85.8,79.3,84.4136273298981,78.4454239485682,,,,,,,0.379660788708232,0.125559958239878,,5,0.188,0.17,
1430,2.50988817144895,123.770292560783,79.2124523152302,76.4467706260395,69.4,79.2124523152302,124.612839458265,1.79,1.99284659152212,2.02,46.4,9,2.71,83.9,77.5,81.5429187300202,75.7776798855138,,,,,,,0.361966777175938,0.124307558030845,,,0.191,0.168,
1440,2.27310182728345,139.912167382478,92.9838417931228,90.6473478457742,78.6,92.9838417931228,117.249866137872,1.78,1.93514610784374,,41.4,8,2.42,91.1,84.2,90.0535742765047,83.6866159606698,,,,,,,0.413380523009547,0.131396006888746,,5.00000043782952,0.196,0.166,
1450,2.27988438087981,141.47610293223,92.5965493741762,86.7027494812519,79.9,92.5965493741762,127.66609879207,2.04,1.92933332307968,1.9,42.3,6,2.4,91,84.1,89.0168526130705,82.7231924830016,,,,,,,0.414792484732982,0.130645046974139,6.26016260162602,,0.194,0.166,
1460,2.32087357881779,131.287600690371,91.1056035088908,83.3424347472837,78.3,91.1056035088908,131.848635323348,1.94,1.98655224485511,,42.2,6,2.46,87.5,80.9,87.7701301974715,81.5646157042117,,,,,,,0.390060455470835,0.129983549158335,5,,0.2,0.167,
1470,2.3801287315101,129.20971835409,86.537701132717,84.1254415118007,74.4,86.537701132717,121.466408843893,1.82,2.04546812846186,,43.2,4,2.51,82.1,75.9,82.8934996264965,77.0327721538139,,,,,,,0.386616714565819,0.0997839691171004,4.99,4.16999985066934,0.159,0.168,
1480,2.4028031694612,120.782532026573,81.6715244192285,77.0267343386232,71.5,81.6715244192285,130.949835584676,1.81,2.10613130129804,,40.6,4,2.49,79.1,73.1,80.7219344789986,75.0147407764669,,,,,,,0.360311652747878,0.108331045538057,,,0.179,0.168,
1490,2.31470443316022,129.409277218497,86.4711079826074,84.0274131131915,74.1,86.4711079826074,130.496663016236,1.96,2.16859358333928,,40.5,4,2.41,80.6,74.5,81.4424421968319,75.6843072335836,,,,,,,0.384940390404679,0.102591140379927,,,0.168,0.169,
1500,2.55987226226917,120.431235494559,82.256899937787,78.8657830877346,72.9,82.256899937787,140.232327699142,1.94,2.23290833140455,,36.6,3,2.42,77.7,71.8,78.6921370440262,73.1284538657784,1,,,,,0.539562910877157,0.36078153473475,0.109214870504465,,5.1283552821039,0.17,0.17,
1510,2.80754293996967,117.730068581777,82.7480511459927,79.8546480891391,72.5,82.7480511459927,134.339143803509,1.7,2.2991304847349,,37.7,3,2.48,75.8,70.1,76.8677179226077,71.4330246327681,,,,,,,0.354353640099557,0.10229795683191,4.94,,0.151,0.172,
1520,2.94110926032496,101.849986910764,71.5032012545209,70.901255045696,64.1,71.5032012545209,154.721493130344,1.88,2.41631333347068,2.35,39.1,4,2.71,71,65.6,71.3607714490661,66.3154297083045,,,,,132.15859030837,,0.311369546529088,0.111638429996851,,,0.173,0.172,
1530,3.01970302165164,93.1058392033563,69.6778693312098,68.1702276240323,63,69.6778693312098,155.820101695234,1.82,2.66832435478351,,,,2.85,70.5,65.1,70.4586044278062,65.4770476046832,,,,,,,0.294060329475954,0.138159869777665,5.6,5.00000043782952,0.209,0.172,
1540,2.99255796795953,98.9416358918753,69.0555520614174,64.6382546133554,61.4,69.0555520614174,170.164691856525,1.82,2.8982151,2.8982151,,,2.99,68.6,63.4,68.6352489958508,63.7826068562757,,,,,,,0.298330851397133,0.120688413657946,5.262445131699,5.00000043782952,0.188,0.171,2.99255796795953
1550,3.24105659780776,83.348571070477,59.1522450679385,56.3713214122824,53.7,59.1522450679385,203.251211897858,1.95,3.1171381,3.1171381,,,3.24,53.3,49.2,57.5621319954912,53.492380206844,,,,5.13,,,0.256874244016295,0.0784443278729344,5.06733460092192,,0.139,0.172,3.24105659780776
1560,3.21039080944351,95.2428219872727,64.653657258007,59.776504321906,56.4,64.653657258007,155.020607528299,1.79,3.1388684,3.1388684,,,3.21,57.4,53,62.5552699435468,58.1324938420292,,,,5.24,,,0.287571528434274,0.0836244512260221,5.57497879861068,5.12550983460705,0.135,0.177,3.21039080944351
1570,3.50012963743676,93.1961398392733,61.7989156043499,56.8639102889085,53.5,61.7989156043499,133.204660240078,1.47,3.4128286,3.4128286,,,3.5,58.5,54,63.5880794174724,59.0922817293992,,,,4.84,,,0.279334525702355,0.104531487717502,4.43991227001715,4.89630089189725,0.154,0.186,3.50012963743676
1580,3.55405912731872,83.1891086281236,57.0350194976611,54.6052011788183,49,57.0350194976611,135.173646288839,1.39,3.762441,3.762441,,,3.55,58.3,53.9,63.3063636346189,58.8304837861289,,,,6.55,,,0.257365066478863,0.146676932437109,4.84624575229017,5.81318143400659,0.208,0.193,3.55405912731872
1590,4.164,70.200677578756,45.6949981682326,44.2319763464403,41.4,45.6949981682326,164.058198623485,1.34,3.9972989,3.9972989,,,4.16,48.6,44.9,53.656538351906,49.8629194333539,,,,6.06,,,0.216126781148621,0.105731474878474,5.51688282914066,5.64655147270327,0.164,0.194,4.164
